Week,Roe v. Wade: (US)
2016-12-4,64
2016-12-11,31
2016-12-18,9
2016-12-25,0
2017-1-1,4
2017-1-8,19
2017-1-15,11
2017-1-22,49
2017-1-29,26
2017-2-5,26
2017-2-12,15
2017-2-19,42
2017-2-26,29
2017-3-5,25
2017-3-12,48
2017-3-19,48
2017-3-26,53
2017-4-2,34
2017-4-9,43
2017-4-16,42
2017-4-23,45
2017-4-30,60
2017-5-7,34
2017-5-14,33
2017-5-21,21
2017-5-28,17
2017-6-4,12
2017-6-11,0
2017-6-18,0
2017-6-25,13
2017-7-2,9
2017-7-9,8
2017-7-16,0
2017-7-23,4
2017-7-30,8
2017-8-6,0
2017-8-13,4
2017-8-20,8
2017-8-27,23
2017-9-3,11
2017-9-10,15
2017-9-17,4
2017-9-24,8
2017-10-1,11
2017-10-8,26
2017-10-15,19
2017-10-22,15
2017-10-29,23
2017-11-5,26
2017-11-12,19
2017-11-19,16
2017-11-26,18
2017-12-3,26
2017-12-10,22
2017-12-17,16
2017-12-24,0
2017-12-31,12
2018-1-7,15
2018-1-14,4
2018-1-21,29
2018-1-28,11
2018-2-4,18
2018-2-11,15
2018-2-18,26
2018-2-25,29
2018-3-4,18
2018-3-11,11
2018-3-18,41
2018-3-25,23
2018-4-1,19
2018-4-8,74
2018-4-15,41
2018-4-22,33
2018-4-29,34
2018-5-6,30
2018-5-13,23
2018-5-20,16
2018-5-27,24
2018-6-3,23
2018-6-10,11
2018-6-17,8
2018-6-24,70
2018-7-1,56
2018-7-8,62
2018-7-15,0
2018-7-22,8
2018-7-29,16
2018-8-5,12
2018-8-12,4
2018-8-19,8
2018-8-26,15
2018-9-2,34
2018-9-9,26
2018-9-16,15
2018-9-23,26
2018-9-30,41
2018-10-7,49
2018-10-14,27
2018-10-21,23
2018-10-28,35
2018-11-4,25
2018-11-11,23
2018-11-18,8
2018-11-25,11
2018-12-2,29
2018-12-9,34
2018-12-16,35
2018-12-23,4
2018-12-30,12
2019-1-6,11
2019-1-13,22
2019-1-20,37
2019-1-27,22
2019-2-3,57
2019-2-10,14
2019-2-17,36
2019-2-24,47
2019-3-3,22
2019-3-10,25
2019-3-17,37
2019-3-24,37
2019-3-31,19
2019-4-7,44
2019-4-14,42
2019-4-21,34
2019-4-28,52
2019-5-5,38
2019-5-12,100
2019-5-19,58
2019-5-26,23
2019-6-2,15
2019-6-9,11
2019-6-16,4
2019-6-23,16
2019-6-30,12
2019-7-7,15
2019-7-14,11
2019-7-21,12
2019-7-28,8
2019-8-4,0
2019-8-11,0
2019-8-18,4
2019-8-25,11
2019-9-1,7
2019-9-8,3
2019-9-15,10
2019-9-22,31
2019-9-29,35
2019-10-6,7
2019-10-13,14
2019-10-20,48
2019-10-27,14
2019-11-3,31
2019-11-10,24
2019-11-17,27
2019-11-24,4
2019-12-1,27
2019-12-8,48
2019-12-15,21
2019-12-22,4
2019-12-29,11
2020-1-5,17
2020-1-12,13
2020-1-19,27
2020-1-26,13
2020-2-2,3
2020-2-9,3
2020-2-16,7
2020-2-23,13
2020-3-1,16
2020-3-8,41
2020-3-15,9
2020-3-22,12
2020-3-29,50
2020-4-5,24
2020-4-12,32
2020-4-19,25
2020-4-26,55
2020-5-3,29
2020-5-10,30
2020-5-17,44
2020-5-24,12
2020-5-31,6
2020-6-7,9
2020-6-14,16
2020-6-21,9
2020-6-28,16
2020-7-5,16
2020-7-12,13
2020-7-19,10
2020-7-26,3
2020-8-2,6
2020-8-9,3
2020-8-16,10
2020-8-23,9
2020-8-30,6
2020-9-6,12
2020-9-13,33
2020-9-20,68
2020-9-27,75
2020-10-4,50
2020-10-11,36
2020-10-18,26
2020-10-25,52
2020-11-1,18
2020-11-8,21
2020-11-15,21
2020-11-22,11
2020-11-29,7
2020-12-6,28
2020-12-13,25
2020-12-20,0
2020-12-27,7
2021-1-3,7
2021-1-10,3
2021-1-17,28
2021-1-24,21
2021-1-31,10
2021-2-7,28
2021-2-14,14
2021-2-21,11
2021-2-28,28
2021-3-7,25
2021-3-14,20
2021-3-21,17
2021-3-28,25
2021-4-4,25
2021-4-11,18
2021-4-18,36
2021-4-25,39
2021-5-2,36
2021-5-9,40
2021-5-16,73
2021-5-23,18
2021-5-30,11
2021-6-6,18
2021-6-13,11
2021-6-20,0
2021-6-27,11
2021-7-4,7
2021-7-11,11
2021-7-18,7
2021-7-25,4
2021-8-1,0
2021-8-8,7
2021-8-15,4
2021-8-22,0
2021-8-29,41
2021-9-5,23
2021-9-12,4
2021-9-19,19
2021-9-26,11
2021-10-3,17
2021-10-10,8
2021-10-17,24
2021-10-24,13
2021-10-31,32
2021-11-7,8
2021-11-14,21
2021-11-21,3
2021-11-28,97
